Mods count: 62
 
jar name                                                                         | mod id (isMCreator)                          | mixin configs
neoforge-21.1.216 (modloader)                                                    | neoforge                                     | 
AI-Improvements-1.21-0.5.3.jar                                                   | aiimprovements                               | 
alltheleaks-1.1.4+1.21.1-neoforge.jar                                            | alltheleaks                                  | alltheleaks.mixins.json
architectury-13.0.8-neoforge.jar                                                 | architectury                                 | architectury.mixins.json, architectury-common.mixins.json
balm-neoforge-1.21.1-21.0.55.jar                                                 | balm                                         | balm.neoforge.mixins.json, balm.mixins.json
    /META-INF/jarjar/kuma-api-neoforge-21.0.7+1.21.jar                           | kuma_api                                     | kuma_api.neoforge.mixins.json, kuma_api.mixins.json
bcc-21.1.7+mc1.21.1.jar                                                          | bcc                                          | bcc.mixins.json
bettersafebed-neoforge-1.21-16.jar                                               | bettersafebed                                | bettersafebed.mixins.json
BHMenu-NeoForge-1.21-2.4.4.jar                                                   | bhmenu                                       | bhmenu.mixins.json
bookshelf-neoforge-1.21.1-21.1.80.jar                                            | bookshelf                                    | bookshelf.neoforge.mixins.json, bookshelf.mixins.json
chunkactivitytracker-neoforge-1.0.1-1.21.1.jar                                   | chunkactivitytracker                         | mixins.chunkactivitytracker.json
chunksending-1.21-2.8.jar                                                        | chunksending                                 | chunksending.mixins.json
cloth-config-15.0.140-neoforge.jar                                               | cloth_config                                 | 
Clumps-neoforge-1.21.1-19.0.0.1.jar                                              | clumps                                       | clumps.mixins.json
configured-neoforge-1.21.1-2.6.3.jar                                             | configured                                   | 
connectivity-1.21.1-7.2.jar                                                      | connectivity                                 | connectivity.mixins.json
Controlling-neoforge-1.21.1-19.0.5.jar                                           | controlling                                  | controlling.mixins.json, controlling.neoforge.mixins.json
CraftTweaker-neoforge-1.21.1-21.0.35.jar                                         | crafttweaker                                 | crafttweaker.mixins.json, crafttweaker.neoforge.mixins.json
CrashAssistant-neoforge-1.20.6-1.21.4-1.10.27.jar                                | crash_assistant                              | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json
    /META-INF/jarjar/app.jar                                                     |                                              | 
    /META-INF/jarjar/crash_assistant-neoforge.jar                                | crash_assistant                              | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json
crashutilities-9.0.4.jar                                                         | crashutilities                               | 
create-1.21.1-6.0.8.jar                                                          | create                                       | create.mixins.json
    /META-INF/jarjar/flywheel-neoforge-1.21.1-1.0.5.jar                          | flywheel                                     | flywheel.impl.mixins.json, flywheel.backend.mixins.json
    /META-INF/jarjar/Ponder-NeoForge-1.21.1-1.0.64.jar                           | ponder                                       | ponder-common.mixins.json, ponder.mixins.json
    /META-INF/jarjar/Registrate-MC1.21-1.3.0+67.jar                              |                                              | 
create_ultimate_factory-2.2.1-neoforge-1.21.1.jar                                | create_ultimate_factory                      | 
cupboard-1.21-2.9.jar                                                            | cupboard                                     | cupboard.mixins.json
curios-neoforge-9.5.1+1.21.1.jar                                                 | curios                                       | curios.neoforge.mixins.json, curios.mixins.json
despawntweaks-neoforge-1.0.0-1.21.1.jar                                          | despawntweaks                                | mixins.despawntweaks.json
does_it_tick-neoforge-1.1.4-1.21.1.jar                                           | does_it_tick                                 | mixins.does_it_tick.json
dynview-1.21-4.0.jar                                                             | dynview                                      | dynview.mixins.json
entityculling-neoforge-1.9.4-mc1.21.1.jar                                        | entityculling                                | entityculling.mixins.json
    /META-INF/jars/TRansition-1.0.11-1.21.1-neoforge-SNAPSHOT.jar                | transition                                   | transition.mixins.json
    /META-INF/jars/TRender-1.0.10-1.21.1-neoforge-SNAPSHOT.jar                   | trender                                      | trender.mixins.json
fastasyncworldsave-1.21-2.6.jar                                                  | fastasyncworldsave                           | fastasyncworldsave.mixins.json
FPSboost-1.21.1.jar                                                              | fpsboostremake                               | 
ftb-chunks-neoforge-2101.1.13.jar                                                | ftbchunks                                    | ftbchunks-common.mixins.json
ftb-essentials-neoforge-2101.1.8.jar                                             | ftbessentials                                | ftbessentials-common.mixins.json
ftb-library-neoforge-2101.1.29.jar                                               | ftblibrary                                   | ftblibrary-common.mixins.json
ftb-teams-neoforge-2101.1.8.jar                                                  | ftbteams                                     | 
ftb-ultimine-neoforge-2101.1.12.jar                                              | ftbultimine                                  | ftbultimine-common.mixins.json
geckolib-neoforge-1.21.1-4.8.2.jar                                               | geckolib                                     | geckolib.mixins.json
ImmediatelyFast-NeoForge-1.6.8+1.21.1.jar                                        | immediatelyfast                              | immediatelyfast-common.mixins.json, immediatelyfast-neoforge.mixins.json
    /META-INF/jars/Reflect-1.3.4.jar                                             |                                              | 
immersive_optimization-neoforge-1.21-0.1.0.jar                                   | immersive_optimization                       | immersive_optimization.mixins.json
kubejs-neoforge-2101.7.2-build.348.jar                                           | kubejs                                       | kubejs.mixins.json
    /META-INF/jarjar/tiny-java-server-1.0.0-build.33.jar                         |                                              | 
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar          |                                              | 
leaky-1.21-2.1.jar                                                               | leaky                                        | leaky.mixins.json
limitedchunks-1.21-4.1.jar                                                       | limitedchunks                                | limitedchunks.mixins.json
logprot-1.21-3.5.jar                                                             | logprot                                      | logprot.mixins.json
lootintegrations-1.21.1-4.7.jar                                                  | lootintegrations                             | lootintegrations.mixins.json
LuckPerms-NeoForge-5.4.140.jar                                                   | luckperms                                    | 
memorysettings-1.21-5.9.jar                                                      | memorysettings                               | memorysettings.mixins.json
modernfix-neoforge-5.25.1+mc1.21.1.jar                                           | modernfix                                    | modernfix-common.mixins.json, modernfix-neoforge.mixins.json
moonlight-1.21-2.28.1-neoforge.jar                                               | moonlight                                    | moonlight.mixins.json, moonlight-common.mixins.json
NaNny-1.21.1-1.0.1.jar                                                           | nanny                                        | 
Neruina-2.2.11-neoforge+1.21.jar                                                 | neruina                                      | neruina.mixins.json
    /META-INF/jars/github-api-1.318.jar                                          |                                              | 
    /META-INF/jars/httpcore5-5.3.1.jar                                           |                                              | 
    /META-INF/jars/jackson-annotations-2.17.0.jar                                |                                              | 
    /META-INF/jars/jackson-core-2.17.0.jar                                       |                                              | 
    /META-INF/jars/jackson-databind-2.17.0.jar                                   |                                              | 
Not Enough Recipe Book-NEOFORGE-0.4.3+1.21.jar                                   | nerb                                         | nerb-common.mixins.json
OctoLib-NEOFORGE-0.6.0.4+1.21.jar                                                | octolib                                      | octolib-common.mixins.json
